#_RAJ2000|_DEJ2000|plx|RV|pmRA|pmDE|Rmin_GCS|Rmax_GCS|ecc_GCS|zmax_GCS
001.280833|-52.151667| 23.86|  34.3| -111| -131|  6.39|  8.88| 0.16| 0.14
001.368333|-61.225833| 19.54|   6.3|   84|  -78|  6.72|  7.98| 0.09| 0.13
001.477917|+18.235000| 26.93| -45.6| -149| -151|  5.88|  8.81| 0.20| 0.42
001.468750|-41.753056| 25.39|   1.6|   99|  -76|  7.05|  7.99| 0.06| 0.09
001.608333|+42.752500|  9.38| -31.8|   78|   -1|  5.77|  8.07| 0.17| 0.16
001.603750|-18.038056|  7.04|  13.6|   16|    1|  7.99|  8.25| 0.02| 0.18
001.664583|-24.620833|  5.70|   7.6|  -25|  -69|  6.08|  8.63| 0.17| 0.14
001.695417| -4.350000|  9.03|  -0.2|   59|  -88|  5.53|  8.01| 0.18| 0.26
001.708333|-23.107500| 25.39|   6.5|   97|  -47|  7.40|  8.00| 0.04| 0.05
001.843750|-25.356389| 19.90|   8.4|  213| -133|  5.48|  8.07| 0.19| 0.17

