#Estrela,ra,dec,dist,RV,pmra,pmdec,eGCS,e,zmaxGCS,zmax,RmaxGCS,Rmax,RminGCS,Rmin
Star_0,1.280833,-52.151667,0.0419111483655,-131.0,34.3,-111.0,0.16,0.320013893813,0.14,5.79510560285,8.88,15.2762776917,6.39,7.86935397674
Star_1,1.368333,-61.225833,0.0511770726714,-78.0,6.3,84.0,0.09,0.339428772377,0.13,2.06144148575,7.98,16.0265590311,6.72,7.90387961799
Star_2,1.477917,18.235,0.0371333085778,-151.0,-45.6,-149.0,0.2,0.458966581866,0.42,3.1052344234,8.81,8.66531572504,5.88,3.21338778023
Star_3,1.46875,-41.753056,0.0393855848759,-76.0,1.6,99.0,0.06,0.250478202493,0.09,2.45118864189,7.99,13.2536431392,7.05,7.94407644165
Star_4,1.608333,42.7525,0.106609808102,-1.0,-31.8,78.0,0.17,0.163933300717,0.16,1.11141095863,8.07,11.1506539357,5.77,8.00964318586
Star_5,1.60375,-18.038056,0.142045454545,1.0,13.6,16.0,0.02,0.089698519593,0.18,0.164037286447,8.25,9.56015312781,7.99,7.98626536486
Star_6,1.664583,-24.620833,0.175438596491,-69.0,7.6,-25.0,0.17,0.0448968699293,0.14,1.67818409319,8.63,8.0689001119,6.08,7.37549510855
Star_7,1.695417,-4.35,0.110741971207,-88.0,-0.2,59.0,0.18,0.0960348498792,0.26,2.86243376249,8.01,9.70655226611,5.53,8.00557115255
Star_8,1.708333,-23.1075,0.0393855848759,-47.0,6.5,97.0,0.04,0.131629427225,0.05,1.29611973914,8.0,10.4129052182,7.4,7.99047837662
Star_9,1.84375,-25.356389,0.0502512562814,-133.0,8.4,213.0,0.19,0.38493385351,0.17,6.92830816038,8.07,17.7660307842,5.48,7.89011263257
