#Estrela,ra,dec,dist,RV,pmra,pmdec,U,V,W,X,Y,Z,e,zmax,Rmax,Rmin
Star_1,1.98964807361,33.9948327311,27130.65,-233.6,0.827046682803,-0.448701106738,7.44247908483,-259.627769742,41.8500895885,-9255.13864416,22091.4048888,-12743.0140917,0.000996487445412,12743.0140917,27127.9219847,27073.910539
Star_2,13.4573763126,46.4358273416,10307.875,-245.3,-0.740711866486,0.124365952198,158.771347364,-175.220389051,74.8900544677,-5436.92887294,8257.59639372,-2916.19499428,0.048454189884,2916.19499428,11353.0140935,10303.6576105
Star_3,14.9206438867,46.2425555179,27188.265,-165.6,-0.150602655132,0.06427562471,104.699641091,-117.989170636,54.6378415992,-14727.1257596,21492.8698856,-7769.81754305,0.0125229605117,7769.81754305,27873.4134229,27183.9324546
Star_4,15.5392909573,46.7236505649,36033.54,-144.0,1.88109859036,-0.763540096767,-170.609334967,-326.683922154,-71.8627488164,-19779.1168723,28412.1386924,-9997.64550328,0.0137601350199,10467.8437445,36029.1493525,35051.0758564
Star_5,18.8310358323,47.2309065438,20862.3,-162.4,-0.294401644111,-0.0214480000356,118.22975442,-108.461311029,38.5206319259,-12139.5856907,16031.0556577,-5556.19249553,0.0196104699897,5556.19249553,21692.065729,20857.6458863
Star_6,42.2454287833,43.2043035455,17424.76,-139.5,0.195160005607,-0.199232512754,98.950520315,-96.9944110904,28.13947286,-13746.0235739,9758.10079174,-4410.05282293,0.0205638531758,4410.05282293,18149.8713955,17418.4496635
Star_7,358.476702895,34.8326317096,10801.03,-118.6,-0.435154395565,-0.72146712774,69.3454762177,-102.201103894,25.9448299525,-3265.43377174,9092.32900435,-4829.98391509,0.0206142898707,4829.98391509,11253.1964988,10798.6140833
Star_8,357.068276221,31.4936597299,28296.12,-196.9,1.20490390308,-0.991793084288,-35.7847421805,-280.082944142,-53.5060492135,-7396.49971787,23497.1331182,-13922.892451,9.78907170534e-05,14259.4591476,28299.5698717,28294.0298837
Star_9,38.7839534783,44.923948537,29371.555,-139.7,0.179846605799,-0.173845861431,88.0995955591,-111.642754862,22.4365253947,-22302.8013747,17708.7754152,-7188.3633222,0.0109881260344,7188.3633222,30017.9938988,29365.4807946
Star_10,357.492024641,34.7658028926,8825.34,-43.4,1.7531763408,-0.488059459844,-43.690071156,-74.344529159,-15.6279496751,-2555.22827744,7479.07010225,-3926.95110377,0.00679419627664,3986.65321747,8823.02705783,8703.94536704
Star_11,42.7646126629,43.7012095068,16010.5,-106.2,-0.0611055720732,-0.230472486879,85.3924480265,-65.1123256559,8.62797604406,-12682.8048867,8965.60944557,-3885.92559429,0.0210806694924,3885.92559429,16693.4511079,16004.1635011
Star_12,41.976775243,44.4908298818,28862.035,-145.2,0.165554007866,-0.263645213737,96.7428539634,-115.673737728,12.5575998468,-22653.914811,16546.1410951,-6785.45672311,0.012540140484,6785.45672311,29588.6573535,28855.7561971
Star_13,41.6348367031,43.2467319171,25387.905,-182.1,1.44532306502,-1.22423429135,24.7745959142,-290.634929667,-6.57984447915,-19905.7128083,14357.2336444,-6494.47149222,0.00480325446788,6494.47149222,25626.6386918,25381.632983
