#Estrela,ra,dec,dist,RV,pmra,pmdec
Star_1,1.98964807361402,33.9948327310761,27130.65,-233.6,0.827046682803075,-0.448701106737708
Star_2,13.4573763126247,46.4358273415542,10307.875,-245.3,-0.740711866486032,0.124365952197747
Star_3,14.9206438866589,46.2425555179193,27188.265,-165.6,-0.150602655132042,0.0642756247100041
Star_4,15.5392909573323,46.7236505649432,36033.54,-144,1.88109859035683,-0.763540096766759
Star_5,18.8310358323054,47.2309065438154,20862.3,-162.4,-0.294401644110699,-0.0214480000356319
Star_6,42.2454287833052,43.2043035455321,17424.76,-139.5,0.195160005606729,-0.199232512753823
Star_7,358.476702895271,34.83263170956,10801.03,-118.6,-0.435154395564728,-0.721467127740058
Star_8,357.068276221234,31.4936597299447,28296.12,-196.9,1.20490390308173,-0.991793084288002
Star_9,38.7839534782717,44.9239485369538,29371.555,-139.7,0.179846605799458,-0.17384586143092
Star_10,357.492024640743,34.7658028925677,8825.34,-43.4,1.7531763408048,-0.488059459844016
Star_11,42.7646126628635,43.70120950679,16010.5,-106.2,-0.0611055720732273,-0.230472486879119
Star_12,41.9767752429582,44.4908298818415,28862.035,-145.2,0.165554007866043,-0.263645213737396
Star_13,41.6348367031031,43.2467319171334,25387.905,-182.1,1.44532306502104,-1.22423429135449
Star_GCS1,001.280833,-52.151667,41.911,34.3,-111,-131
Star_GCS2,001.368333,-61.225833,51.177,6.3,84,-78
Star_GCS3,001.477917,+18.235000,37.133,-45.6,-149,-151
Star_GCS4,001.468750,-41.753056,39.385,1.6,99,-76
Star_GCS5,001.608333,+42.752500,106.610,-31.8,78,-1
